Monitoring started on: ernie
--------------------------------------------------------
Timestamp           | %CPU    | Memory (GB)  | GPU Usage
--------------------------------------------------------
2025-12-15 15:09:57 | 6.1     | 0.01        
2025-12-15 15:10:58 | 3.6     | 0.31        
2025-12-15 15:11:59 | 3.9     | 0.40        
2025-12-15 15:12:59 | 3.8     | 0.44        
2025-12-15 16:00:15 | 66.1    | 1.69         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:   0% | Processes:  1
2025-12-15 16:01:18 | 66.5    | 1.70         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  84% | Processes:  1
2025-12-15 16:02:18 | 67      | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 16:03:19 | 67.4    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:   4% | Processes:  1
2025-12-15 16:04:20 | 67.7    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 16:05:21 | 68.2    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  96% | Processes:  1
2025-12-15 16:06:21 | 68.6    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  93% | Processes:  1
2025-12-15 16:07:22 | 69      | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  88% | Processes:  1
2025-12-15 16:08:23 | 69.4    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  95% | Processes:  1
2025-12-15 16:09:24 | 69.7    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  28% | Processes:  1
2025-12-15 16:10:25 | 70.1    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
2025-12-15 16:11:26 | 70.3    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:   0% | Processes:  1
2025-12-15 16:12:28 | 70.6    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  61% | Processes:  1
2025-12-15 16:13:29 | 70.5    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  96% | Processes:  1
2025-12-15 16:14:30 | 70.3    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  92% | Processes:  1
2025-12-15 16:15:31 | 70.6    | 1.71         | GPU Slot: 1 | Mem:   7.67 GB | GPU Utilization:  90% | Processes:  1
